Allied_Nations,Diplomatic_Meetings_Set,Percent_Of_Forces_Mobilized,Hostile_Nations,Active_Threats,Inactive_Threats,Citizen_Fear_Index,Closest_Threat_Distance(km),Aircraft_Carriers_Responding,Troops_Mobilized(thousands),DEFCON_Level,ID
7,1,0,3,21,39,0.453010279001466,357.22,1,950400,b,8779
11,1,0.49,3,9,23,0.589574155653448,349.8,1,897600,b,9273
7,0,0,2,7,20,0.479441997063142,374.18,1,880000,c,9173
7,1,0.12,4,52,71,0.398678414096916,347.68,0,941600,c,6809
8,0,0.1,2,9,50,0.413362701908955,359.34,1,862400,c,7462
8,1,0.13,3,21,89,0.466226138032308,332.84,1,827200,b,382
9,0,0.34,2,45,102,0.523494860499261,326.48,1,862400,b,5152
8,0,0.32,3,24,122,0.479441997063142,349.8,1,818400,b,8616
8,1,0.27,2,17,91,0.428046989720995,352.98,0,836000,b,6514
6,1,0.2,8,55,121,0.376651982378848,344.5,1,985600,c,2210
8,0,0.32,3,26,90,0.479441997063142,352.98,1,827200,b,5783
6,1,0.09,2,7,28,0.303230543318642,373.12,1,1003200,c,4445
9,1,0.21,2,8,28,0.567547723935388,330.72,1,844800,b,10051
8,1,0.1,3,18,101,0.552863436123348,343.44,1,897600,c,6047
5,0,0.25,2,29,55,0.290014684287816,371,1,924000,c,4540
9,1,0.23,2,12,21,0.417767988252572,338.14,1,853600,b,6906
7,0,0.47,2,14,25,0.23568281938325,354.04,1,1073600,d,7290
8,0,0.48,3,39,106,0.523494860499261,349.8,1,800800,a,11278
9,0,0.48,4,3,11,0.633627019089575,337.08,1,1029600,c,6499
8,1,0,2,7,14,0.389867841409682,334.96,1,862400,b,2272
9,1,0.28,2,4,28,0.457415565345074,347.68,1,1038400,c,1180
13,0,0.49,3,5,21,0.77312775330396,328.6,1,827200,c,5780
8,1,0.1,3,18,22,0.538179148311301,338.14,0,836000,b,12089
5,1,0,1,16,46,0.11233480176211,397.5,1,1047200,c,10487
6,1,0.01,2,3,19,0.272393538913349,376.3,1,976800,c,2835
8,1,0.14,2,17,42,0.530837004405281,356.16,1,888800,c,3697
8,0,0.42,2,9,17,0.379588839941259,345.56,1,1100000,e,1564
8,0,0.06,2,12,50,0.435389133627015,344.5,0,853600,b,87
8,0,0.31,2,23,49,0.483847283406751,379.48,1,906400,c,7845
9,1,0.23,2,8,28,0.599853157121879,358.28,0,818400,b,6000
7,1,0,2,22,37,0.491189427312779,354.04,1,853600,d,3168
7,0,0.27,2,23,69,0.503671071952998,381.6,1,827200,b,11015
10,1,0.19,11,31,121,0.656387665198241,341.32,1,915200,b,1459
8,0,0.37,2,6,17,0.270925110132159,346.62,1,1100000,d,7285
6,1,0.14,2,15,20,0.372246696035231,354.04,1,959200,c,3269
8,0,0.36,2,7,17,0.395741556534505,351.92,1,968000,d,2453
12,1,0.49,3,27,99,0.787812041115999,330.72,1,836000,b,10724
8,1,0.27,2,11,79,0.473568281938328,345.56,0,880000,c,11302
7,1,0.02,8,55,124,0.64977973568282,352.98,1,906400,b,5524
12,0,0.58,3,28,54,0.692364170337741,329.66,1,1012000,b,2415
7,0,0.3,2,31,45,0.329662261380318,342.38,0,1135200,c,3318
7,1,0.03,2,7,32,0.442731277533035,356.16,1,880000,b,4950
6,0,0.23,2,13,25,0.335535976505132,377.36,1,1003200,b,8485
8,1,0.29,3,16,28,0.508810572687221,350.86,1,880000,b,9552
7,1,0.13,2,15,20,0.231277533039649,349.8,1,924000,c,1318
7,1,0.08,4,5,21,0.508810572687221,367.82,1,968000,b,11038
8,1,0.15,2,27,109,0.435389133627015,326.48,0,888800,c,24
7,1,0.1,2,12,28,0.464757709251094,365.7,0,897600,b,8932
9,1,0.22,2,5,28,0.655653450807642,351.92,1,968000,b,10990
7,1,0.1,2,12,26,0.444199706314248,362.52,0,924000,b,11035
10,0,0.58,3,7,20,0.508810572687221,333.9,1,924000,b,7291
7,1,0,2,18,32,0.567547723935388,361.46,1,836000,b,1208
8,1,0.06,2,5,11,0.457415565345074,356.16,1,880000,a,10362
8,0,0.19,2,24,38,0.375183553597643,347.68,1,932800,b,1159
10,0,0.42,2,5,13,0.538179148311301,342.38,1,915200,c,9071
7,0,0.47,2,17,29,0.350220264317172,360.4,1,976800,c,5386
8,0,0.26,2,10,28,0.424375917767985,344.5,1,897600,c,1330
7,1,0.2,2,8,25,0.558737151248155,369.94,1,827200,b,3108
7,0,0.44,2,14,67,0.519089574155644,375.24,1,800800,b,1119
8,0,0.4,2,6,15,0.381057268722465,360.4,1,1038400,c,10252
6,0,0.37,2,18,32,0.244493392070475,356.16,1,1135200,d,1491
9,1,0.26,2,4,11,0.685022026431714,356.16,0,853600,b,7003
5,1,0,1,15,28,0.171071953010269,425.06,1,1073600,d,12066
8,1,0,4,5,14,0.611600587371507,356.16,0,836000,a,8060
7,0,0.25,2,3,28,0.428046989720995,349.8,0,862400,b,9682
9,1,0.3,2,5,14,0.582232011747428,348.74,1,871200,b,2002
6,0,0.21,2,20,51,0.480176211453741,359.34,1,862400,b,10816
6,0,0.16,2,12,25,0.372246696035231,375.24,1,1056000,b,8394
8,1,0.23,2,43,145,0.494126284875182,343.44,1,836000,b,5069
7,1,0.06,2,17,26,0.372246696035231,372.06,1,1038400,c,4507
8,1,0.02,1,10,20,0.472099853157122,351.92,1,862400,b,4835
7,0,0.14,3,9,25,0.398678414096916,355.1,1,941600,c,6589
9,0,0.31,2,4,44,0.655653450807642,361.46,1,853600,c,8956
6,0,0.04,2,6,14,0.347283406754769,381.6,1,1003200,a,6418
11,0,0.44,2,6,19,0.491189427312779,347.68,1,968000,b,1739
9,0,0.49,2,23,59,0.452276064610859,340.26,1,915200,b,1081
13,1,0.63,2,6,25,0.633627019089575,336.02,1,950400,b,230
8,0,0.38,1,4,8,0.278267254038179,348.74,1,976800,c,7862
7,1,0.04,2,12,31,0.508810572687221,366.76,0,836000,b,5615
6,1,0.01,2,7,25,0.182819383259905,365.7,1,1170400,c,8718
7,0,0.37,2,9,30,0.470631424375908,351.92,1,809600,b,1796
8,0,0.3,3,29,63,0.552863436123348,349.8,1,915200,c,8646
7,0,0.33,2,12,36,0.479441997063142,343.44,1,880000,c,925
16,1,0.63,3,10,49,0.626284875183555,320.12,1,1012000,d,2300
9,0,0.54,5,10,22,0.338472834067535,340.26,1,1232000,d,6035
7,1,0.02,2,26,42,0.341409691629955,358.28,1,906400,c,645
8,1,0.31,2,38,44,0.267254038179141,347.68,1,836000,b,2384
8,1,0.14,2,13,39,0.535242290748898,351.92,0,844800,c,5453
9,0,0.31,3,12,45,0.626284875183555,351.92,1,888800,c,9005
7,1,0,2,16,38,0.479441997063142,362.52,1,924000,b,4175
10,0,0.37,2,26,86,0.530102790014682,354.04,1,888800,c,9726
6,1,0.11,2,13,26,0.219530102790012,378.42,1,1003200,a,8335
9,0,0.46,2,6,9,0.455947136563869,346.62,1,1047200,c,8382
8,1,0.1,2,5,11,0.494126284875182,375.24,0,862400,c,9993
8,1,0.04,4,5,11,0.611600587371507,362.52,0,836000,a,875
8,1,0.06,2,22,49,0.380323054331858,357.22,1,959200,c,2325
12,0,0.55,2,42,133,0.787812041115999,358.28,0,836000,b,11248
10,0,0.43,2,5,16,0.560205580029368,340.26,1,880000,b,8489
6,1,0.1,2,18,40,0.354625550660789,380.54,1,888800,c,7000
10,0,0.47,2,9,34,0.463289280469889,345.56,1,976800,c,4283
6,1,0,2,6,13,0.182819383259905,387.96,1,1135200,c,3799
8,1,0.55,2,30,110,0.420704845814975,333.9,1,836000,b,7372
13,0,0.65,4,6,15,0.831864904552135,349.8,1,976800,c,9008
6,1,0.02,2,31,63,0.428046989720995,382.66,1,915200,b,11554
7,1,0.18,2,13,28,0.479441997063142,351.92,1,836000,b,10570
8,1,0.1,6,10,26,0.429515418502201,356.16,1,950400,c,12336
10,0,0.53,2,6,26,0.567547723935388,323.3,1,915200,b,9511
7,1,0,2,9,15,0.22834067547723,351.92,1,924000,c,9293
8,0,0.32,2,14,36,0.237151248164455,347.68,1,1012000,c,11680
7,1,0.01,2,13,38,0.363436123348022,355.1,1,968000,c,9844
7,0,0.31,9,24,91,0.570484581497791,358.28,1,862400,c,7236
9,0,0.57,4,3,10,0.477973568281928,350.86,1,1311200,d,11373
9,1,0.25,2,9,38,0.516152716593241,330.72,1,880000,c,3557
10,1,0.42,2,11,103,0.457415565345074,340.26,1,836000,b,841
7,1,0.01,2,9,22,0.406020558002936,362.52,1,968000,c,8482
11,0,0.58,4,5,22,0.655653450807642,331.78,1,1029600,b,10489
7,1,0,2,4,11,0.582232011747428,372.06,0,818400,b,8621
10,0,0.58,3,5,13,0.489720998531565,334.96,1,1073600,d,4769
6,1,0.05,2,19,31,0.270925110132159,377.36,1,1108800,b,6561
11,0,0.47,2,17,39,0.552863436123348,343.44,0,950400,b,10412
10,0,0.38,3,17,53,0.582232011747428,327.54,0,880000,c,722
8,1,0.01,2,3,12,0.377386196769455,374.18,1,1038400,c,4444
7,0,0.33,2,16,144,0.494126284875182,345.56,1,836000,b,7948
7,1,0.02,2,5,13,0.450073421439055,384.78,1,915200,d,9454
7,1,0,2,12,30,0.476505139500731,366.76,1,959200,c,1518
11,0,0.69,2,6,20,0.530837004405281,341.32,1,1012000,b,8816
7,1,0.22,4,20,98,0.459618208516879,344.5,0,827200,b,4818
8,1,0.52,2,13,47,0.523494860499261,321.18,1,932800,b,11878
7,0,0.6,6,13,19,0.475770925110132,361.46,1,1020800,c,879
7,1,0.02,2,4,11,0.457415565345074,361.46,1,880000,b,11437
7,1,0.07,2,16,84,0.541850220264311,376.3,1,862400,b,253
8,0,0.43,2,29,50,0.362701908957415,350.86,1,1073600,d,1542
7,1,0.05,6,3,8,0.588105726872242,365.7,0,968000,a,6986
6,1,0,2,7,19,0.399412628487515,371,0,1003200,b,10288
9,0,0.41,8,48,278,0.831864904552135,334.96,1,924000,d,7061
7,0,0.19,2,18,36,0.494126284875182,375.24,1,950400,c,2189
8,0,0.35,3,5,10,0.360499265785603,347.68,1,1064800,d,9030
7,1,0.09,3,4,20,0.425110132158592,342.38,0,827200,b,5662
9,1,0.41,8,31,121,0.656387665198241,334.96,1,924000,c,1447
9,0,0.27,2,1,44,0.567547723935388,326.48,1,906400,c,6487
7,1,0,4,27,61,0.429515418502201,355.1,1,950400,c,505
7,1,0.06,2,9,17,0.320851688693093,336.02,1,880000,c,3379
10,0,0.2,11,18,43,1,343.44,0,827200,b,9665
7,0,0.11,2,30,52,0.417767988252572,360.4,0,862400,c,8107
10,0,0.46,2,5,16,0.496328928046978,330.72,1,959200,c,9715
8,0,0.34,2,6,17,0.435389133627015,349.8,1,862400,c,11780
7,1,0.09,2,24,49,0.508810572687221,355.1,1,792000,b,8538
8,1,0.26,2,11,41,0.552863436123348,363.58,1,836000,b,784
8,0,0.33,2,16,38,0.442731277533035,357.22,1,968000,c,6884
8,0,0.26,2,10,28,0.421439060205582,336.02,1,897600,c,2895
11,0,0.39,2,3,9,0.347283406754769,339.2,1,968000,d,7463
7,0,0.36,2,21,65,0.520558002936858,365.7,1,836000,b,2426
13,0,0.52,3,5,29,0.633627019089575,339.2,1,950400,d,2831
8,1,0.21,2,21,84,0.398678414096916,330.72,0,818400,b,8511
7,0,0.21,2,21,36,0.400881057268712,359.34,1,796400,b,535
7,0,0,1,27,44,0.428046989720995,355.1,1,1029600,d,4064
10,0,0.49,2,6,13,0.685022026431714,345.56,1,924000,b,6740
9,0,0.23,2,18,47,0.508076358296614,357.22,1,880000,d,4975
7,1,0.02,2,17,34,0.464757709251094,369.94,1,994400,c,7567
12,0,0.55,2,12,29,0.420704845814975,337.08,1,1056000,d,7293
7,1,0.06,2,4,8,0.441262848751829,358.28,1,880000,a,2331
8,1,0,2,18,27,0.558737151248155,359.34,0,844800,a,11061
11,1,0.22,3,33,73,0.75844346549192,358.28,0,985600,b,2055
8,1,0.21,2,21,66,0.398678414096916,349.8,0,836000,b,6088
8,1,0.23,2,25,88,0.442731277533035,358.28,1,818400,c,1470
10,1,0.23,2,19,46,0.685022026431714,337.08,1,932800,c,2715
7,1,0.31,2,31,89,0.420704845814975,351.92,0,827200,a,9561
6,0,0.21,2,20,47,0.500734214390595,359.34,1,853600,b,10101
8,1,0.26,2,17,119,0.464757709251094,345.56,1,844800,b,10811
7,0,0.33,2,9,29,0.396475770925111,373.12,1,836000,b,6245
5,1,0.19,8,29,65,0.171071953010269,366.76,1,1012000,d,668
10,0,0.49,5,9,24,0.350220264317172,341.32,1,1179200,c,9378
7,0,0.29,2,31,54,0.503671071952998,369.94,0,818400,b,11775
7,1,0.23,2,32,96,0.458883994126288,351.92,1,818400,c,2211
8,0,0.42,2,18,30,0.262114537444926,332.84,1,1091200,c,6267
8,0,0.7,2,27,116,0.538179148311301,331.78,1,836000,b,6731
8,0,0.53,2,5,9,0.439060205580025,319.06,1,1003200,c,125
9,0,0.39,2,17,43,0.310572687224662,337.08,1,1056000,c,268
12,1,0.5,3,19,112,0.699706314243761,332.84,1,827200,c,1738
7,1,0.04,2,12,67,0.497797356828192,365.7,1,827200,a,830
9,0,0.41,8,6,24,0.919970631424372,358.28,1,809600,b,1715
8,0,0.44,2,6,16,0.406020558002936,360.4,1,968000,c,9318
13,0,0.55,2,5,47,0.707048458149781,323.3,1,880000,c,7677
8,1,0.12,2,15,59,0.498531571218798,340.26,1,844800,b,12443
12,0,0.55,2,5,22,0.709985315712184,340.26,1,959200,c,11549
13,1,0.45,2,20,46,0.77312775330396,321.18,1,897600,c,5006
8,1,0,2,8,13,0.430249632892799,356.16,1,880000,d,11966
8,0,0.32,2,14,87,0.513215859030838,338.14,1,844800,c,5027
11,0,0.39,16,6,15,0.714390602055801,325.42,1,959200,b,10645
6,1,0.06,2,38,46,0.353891336270182,356.16,0,836000,b,12279
10,0,0.47,2,17,31,0.406020558002936,362.52,1,976800,c,366
8,0,0.31,2,8,24,0.444933920704839,348.74,1,968000,c,11277
6,1,0,4,32,77.5,0.494126284875182,371,1,827200,c,1428
10,0,0.47,2,9,21,0.463289280469889,338.14,1,1003200,c,519
10,0,0.41,3,4,12,0.516152716593241,352.98,1,1073600,d,7452
8,1,0.23,2,20,45,0.385462555066082,351.92,0,844800,b,10896
7,1,0.07,2,16,86,0.542584434654917,374.18,1,853600,c,11762
6,0,0.53,2,6,14,0.10499265785609,352.98,0,1196800,c,36
7,0,0.42,2,14,21,0.437591776798819,354.04,1,968000,c,299
9,1,0.49,3,38,153,0.573421439060194,326.48,1,765600,b,10364
10,0,0.49,6,9,17,0.582232011747428,339.2,1,968000,c,4748
8,1,0.1,3,4,13,0.536710719530095,375.24,1,976800,a,2548
10,0,0.55,2,5,11,0.401615271659319,352.98,1,1047200,c,5900
8,1,0.05,2,8,32,0.615271659324517,348.74,1,818400,b,10758
11,1,0.66,2,7,23,0.596916299559467,350.86,1,924000,b,5128
8,0,0.28,2,19,122,0.494126284875182,334.96,1,841866.666666667,b,9055
6,1,0.09,2,7,28,0.303230543318642,356.16,1,985600,b,4358
8,0,0.29,4,5,18,0.388399412628485,351.92,1,994400,c,4743
12,0,0.49,1,10,26,0.699706314243761,321.18,1,897600,c,2332
8,1,0,2,27,44,0.419236417033762,357.22,1,941600,b,6164
9,0,0.57,3,3,9,0.477973568281928,330.72,1,968000,c,7135
6,0,0.29,13,72,82,0.414831130690161,373.12,1,1047200,c,2751
8,1,0.12,2,38,48,0.386196769456672,358.28,0,888800,b,6522
7,0,0.49,2,26,67,0.332599118942729,355.1,1,1135200,d,11580
8,0,0.4,2,24,50,0.362701908957415,358.28,1,1073600,d,2877
8,1,0.36,6,7,23,0.389867841409682,345.56,1,1056000,c,10305
8,0,0.2,2,18,24,0.376651982378848,329.66,0,880000,c,7578
8,0,0.25,3,30,68,0.552863436123348,339.2,1,827200,b,4035
7,0,0.38,3,18,72,0.357562408223192,330.72,1,1056000,d,2125
8,1,0.08,3,14,27,0.584434654919232,367.82,1,827200,c,3745
9,0,0.43,2,12,21,0.400146842878121,355.1,1,1020800,d,5679
7,1,0.17,2,15,24,0.455212922173278,373.12,1,968000,c,11557
7,0,0.26,2,13,31,0.421439060205582,363.58,1,880000,c,11576
8,1,0.2,2,9,75,0.486784140969162,338.14,1,844800,b,574
9,1,0.04,2,24,43,0.450073421439055,332.84,0,844800,b,7566
11,0,0.52,3,10,24,0.508810572687221,339.2,1,1064800,d,9505
12,0,0.5,2,6,24,0.674008810572684,332.84,1,959200,d,2443
6,0,0.16,2,11,18,0.398678414096916,356.16,0,862400,c,5129
7,1,0.25,5,51,60,0.429515418502201,360.4,1,1012000,c,3991
10,0,0.49,3,5,17,0.655653450807642,338.14,1,941600,c,7631
11,0,0.48,2,14,33,0.582232011747428,343.44,1,862400,c,5509
8,1,0.42,2,8,31,0.582232011747428,365.7,1,950400,b,78
8,0,0.25,2,19,66,0.435389133627015,356.16,0,836000,a,6829
13,1,0.49,2,5,15,0.787812041115999,339.2,1,844800,c,8799
13,0,0.62,2,6,16,0.685022026431714,334.96,1,915200,b,5823
12,0,0.47,2,9,28,0.685022026431714,322.24,1,897600,b,10473
8,0,0.42,2,9,17,0.307635829662258,332.84,1,1091200,c,3176
7,1,0,2,12,30,0.476505139500731,374.18,1,836000,b,5681
6,1,0.02,2,8,32,0.479441997063142,377.36,1,862400,b,3377
7,1,0.02,3,35,73,0.508810572687221,351.92,1,818400,a,9776
8,1,0.22,2,43,145,0.494126284875182,342.38,1,827200,b,9533
10,1,0.11,3,30,73,0.802496328928039,337.08,1,792000,b,4161
9,0,0.41,2,10,24,0.351688693098386,345.56,1,1038400,c,6786
8,0,0.34,3,26,60,0.486784140969162,355.1,1,985600,d,5064
9,1,0.11,2,20,42,0.559471365638761,357.22,1,932800,b,2836
8,1,0.1,2,28,53,0.451541850220268,359.34,1,853600,b,4301
9,1,0.24,2,7,27,0.479441997063142,339.2,1,827200,b,11427
7,1,0.07,2,8,23,0.411894273127742,367.82,1,924000,b,1764
8,0,0.37,2,5,12,0.307635829662258,341.32,1,976800,d,4916
7,0,0.3,3,31,135,0.226872246696032,345.56,1,1020800,c,6422
9,0,0.57,2,14,27,0.373715124816445,343.44,1,994400,d,4565
9,1,0.02,2,4,28,0.608663729809104,375.24,1,897600,c,1476
6,1,0,2,7,16,0.341409691629955,371,1,1003200,b,8266
12,0,0.51,2,6,21,0.575624082232015,329.66,1,897600,b,8539
8,1,0.02,3,3,14,0.503671071952998,345.56,1,924000,c,2915
8,1,0.29,4,51,145,0.508810572687221,341.32,1,906400,b,959
7,1,0.05,5,4,11,0.495594713656387,352.98,1,994400,b,8117
12,0,0.66,2,6,20,0.640969162995595,319.06,1,880000,b,7679
8,0,0.42,2,8,32,0.494126284875182,366.76,1,888800,c,3363
8,0,0.23,2,18,34,0.354625550660789,341.32,1,862400,c,5209
9,1,0.34,2,7,31,0.608663729809104,355.1,1,924000,b,10923
8,1,0.22,3,14,104,0.490455212922172,338.14,1,844800,b,10690
9,0,0.27,2,29,136,0.611600587371507,334.96,1,809600,b,6935
9,0,0.47,2,19,52,0.501468428781202,354.04,1,924000,d,2374
6,1,0.15,2,6,19,0.482378854625545,354.04,1,862400,b,3754
9,0,0.33,2,12,19,0.502936857562407,360.4,1,906400,d,11064
9,1,0.24,2,7,28,0.655653450807642,357.22,0,897600,b,8471
8,1,0.06,2,14,113,0.361967694566808,306.34,0,818400,b,10121
9,1,0.28,2,11,32,0.475036710719525,352.98,1,836000,b,2218
8,0,0.29,4,17,44,0.476505139500731,355.1,1,985600,c,6806
8,0,0.4,3,8,18,0.532305433186495,352.98,1,924000,b,5498
7,1,0.08,2,42,44,0.378120411160062,349.8,1,985600,c,157
7,1,0.01,2,11,20,0.435389133627015,352.98,1,906400,b,3708
10,0,0.4,2,6,10,0.526431718061672,343.44,1,1003200,b,726
7,1,0.02,2,35,92,0.409691629955946,344.5,1,976800,c,7472
7,1,0,2,7,13,0.353157121879575,362.52,1,968000,b,3421
9,0,0.36,2,6,15,0.417767988252572,349.8,1,827200,c,9891
7,1,0.01,2,17,34,0.427312775330388,355.1,1,809600,b,337
7,0,0.14,3,15,25,0.479441997063142,364.64,1,1064800,c,2393
11,0,0.54,3,9,17,0.523494860499261,340.26,1,968000,c,683
9,1,1,2,37,153,0.516152716593241,352.98,0,862400,c,10206
10,1,0.27,2,7,54,0.596916299559467,340.26,1,818400,b,3402
10,0,0.4,2,6,16,0.560205580029368,354.04,1,959200,d,5631
8,0,0.37,3,24,110,0.516152716593241,306.34,2,800800,b,9442
12,0,0.52,2,14,25,0.589574155653448,320.12,1,862400,d,1556
8,1,0.2,1,9,65,0.486784140969162,358.28,1,818400,b,7380
11,0,0.5,3,20,55,0.582232011747428,334.96,1,836000,b,4969
13,0,0.49,3,5,21,0.626284875183555,327.54,1,1003200,c,3415
5,1,0,1,16,59,0.107929515418493,425.06,1,1196800,d,3946
7,1,0.08,4,9,18,0.418502202643171,363.58,1,941600,d,899
7,1,0,2,14,38,0.479441997063142,360.4,1,836000,b,1552
7,1,0.07,2,11,16,0.442731277533035,362.52,1,968000,c,3381
12,0,0.48,2,8,20,0.670337738619674,327.54,1,915200,b,2412
12,0,0.51,3,26,89,0.746696035242291,338.14,1,836000,b,823
12,0,0.49,4,19,43,0.567547723935388,333.9,1,836000,b,11283
7,1,0.01,2,8,25,0.523494860499261,367.82,1,809600,b,5944
11,0,0.66,3,12,25,0.457415565345074,320.12,1,1056000,c,4209
7,0,0.15,2,8,44,0.406020558002936,359.34,0,809600,b,6710
8,1,0,2,30,35,0.378120411160062,354.04,1,950400,b,5093
9,0,0.45,1,21,46,0.611600587371507,359.34,1,853600,b,5317
10,1,0.64,4,6,19,0.685022026431714,334.96,1,844800,b,6293
6,1,0.21,2,8,25,0.500734214390595,382.66,1,818400,c,7073
7,1,0.05,2,13,31,0.395007342143898,362.52,1,959200,c,9859
6,0,0.19,3,10,25,0.500734214390595,340.26,1,906400,c,10455
7,0,0.04,2,6,15,0.435389133627015,355.1,1,792000,c,4548
7,1,0.02,2,9,14,0.406020558002936,359.34,1,853600,c,3886
10,0,0.46,2,5,13,0.685022026431714,332.84,1,800800,c,7692
8,1,0.24,2,5,15,0.534508076358291,357.22,1,836000,c,5775
8,0,0.53,2,7,21,0.469897209985318,356.16,1,924000,b,10499
8,0,0.42,2,9,24,0.486784140969162,351.92,1,827200,c,10342
10,0,0.49,5,9,28,0.596916299559467,337.08,1,809600,c,2275
9,0,0.51,2,17,29,0.351688693098386,339.2,1,994400,d,1989
7,1,0.02,2,26,85,0.475770925110132,354.04,1,836000,b,1631
7,1,0,2,3,8,0.334067547723935,336.02,1,862400,b,7203
11,0,0.49,3,5,21,0.655653450807642,341.32,1,880000,b,9892
6,0,0.19,2,13,31,0.538179148311301,387.96,1,950400,d,1346
8,2,0.05,2,10,39,0.560205580029368,374.18,1,871200,c,12419
9,0,0.39,2,12,31,0.310572687224662,332.84,1,994400,e,12005
7,1,0.12,2,4,7,0.435389133627015,356.16,1,888800,a,11154
6,1,0.2,2,14,39,0.500734214390595,375.24,1,950400,c,409
13,0,0.49,4,10,24,0.552863436123348,325.42,1,1056000,c,11265
7,0,0.33,2,14,42,0.528634361233485,367.82,1,818400,b,11361
12,0,0.51,2,12,30,0.534508076358291,340.26,1,871200,d,12388
11,0,0.66,4,6,18,0.350220264317172,340.26,1,1179200,d,4912
9,0,0.34,2,5,17,0.626284875183555,352.98,1,924000,b,6770
6,0,0.14,1,15,25,0.331864904552122,354.04,1,862400,c,9596
7,1,0,2,15,21,0.435389133627015,354.04,1,862400,b,7095
10,0,0.42,2,6,16,0.563142437591771,341.32,1,915200,b,5733
10,0,0.59,3,11,27,0.457415565345074,328.6,1,1056000,d,1246
8,1,0.34,2,28,79,0.545521292217329,356.16,1,871200,b,4788
9,1,0.11,3,17,40,0.611600587371507,364.64,1,976800,c,424
7,1,0.02,2,35,111,0.451541850220268,352.98,1,827200,b,5476
8,1,0.19,2,15,105,0.361967694566808,346.62,1,976800,c,10603
9,1,0.26,2,9,21,0.486784140969162,347.68,1,809600,b,8307
7,1,0,2,13,35,0.523494860499261,358.28,1,827200,d,478
8,1,0,2,5,14,0.486784140969162,344.5,1,836000,c,8043
11,0,0.41,1,7,15,0.491189427312779,340.26,1,959200,d,11484
12,0,0.51,2,17,69,0.707048458149781,322.24,1,818400,b,7155
8,0,0.25,4,5,16,0.523494860499261,348.74,1,844800,c,8674
7,1,0,3,8,16,0.398678414096916,359.34,0,950400,b,11268
10,1,0.27,2,35,152,0.569016152716594,333.9,1,809600,b,8942
7,0,0.25,2,4,28,0.421439060205582,360.4,1,796400,b,9017
7,1,0.25,2,32,141,0.501468428781202,364.64,1,836000,b,5293
8,1,0.29,2,15,81,0.457415565345074,340.26,1,836000,c,11763
9,0,0.39,2,4,17,0.516152716593241,351.92,1,800800,c,140
6,0,0.25,2,13,50,0.500734214390595,366.76,1,836000,c,11552
9,0,0.32,3,21,84,0.596916299559467,347.68,1,853600,b,12168
11,0,0.57,2,7,26,0.729074889867841,322.24,1,836000,b,3706
7,0,0.24,2,19,36,0.316446402349476,361.46,1,985600,c,8042
9,1,0.31,3,17,40,0.714390602055801,368.88,2,862400,b,4845
